estacion,start_date,harvest_date,harvest_steps,dry_yield,fresh_yield,yield_potencial,seasonal_irrigation,type_soil,MinTemp_min,MaxTemp_min,Precipitation_min,ReferenceET_min,MinHmd_min,MaxHmd_min,Radsolar_min,MinTemp_max,MaxTemp_max,Precipitation_max,ReferenceET_max,MinHmd_max,MaxHmd_max,Radsolar_max,MinTemp_mean,MaxTemp_mean,Precipitation_mean,ReferenceET_mean,MinHmd_mean,MaxHmd_mean,Radsolar_mean,MinTemp_last_quarter_min,MaxTemp_last_quarter_min,Precipitation_last_quarter_min,ReferenceET_last_quarter_min,MinHmd_last_quarter_min,MaxHmd_last_quarter_min,Radsolar_last_quarter_min,MinTemp_last_quarter_max,MaxTemp_last_quarter_max,Precipitation_last_quarter_max,ReferenceET_last_quarter_max,MinHmd_last_quarter_max,MaxHmd_last_quarter_max,Radsolar_last_quarter_max,MinTemp_last_quarter_mean,MaxTemp_last_quarter_mean,Precipitation_last_quarter_mean,ReferenceET_last_quarter_mean,MinHmd_last_quarter_mean,MaxHmd_last_quarter_mean,Radsolar_last_quarter_mean
SEC,2021/01/01,2021-11-20,322,29.51422188342274,98.38073961140913,34.5269596613576,1275,SiltClayLoam,15.9,24.0,0.0,1.7,34.0,92.0,104.8,21.1,34.8,53.0,9.5,72.0,100.0,647.7,19.006172839506174,30.954012345679008,3.7851851851851857,6.057407407407407,51.114197530864196,99.21913580246914,470.0429012345678,15.9,25.6,0.0,2.1,34.0,92.0,209.1,20.0,34.5,27.2,9.5,65.0,100.0,647.7,18.808602150537634,30.810752688172045,3.9741935483870963,6.067741935483869,51.086021505376344,99.65591397849462,480.49892473118274
MAR,2021/01/01,2021-07-30,209,12.56992617635357,41.89975392117857,21.016902013112237,705,SiltClay,15.3,21.6,0.0,1.0,41.0,97.0,83.5,21.4,34.4,37.2,7.5,87.0,100.0,614.1,19.03175355450237,29.72464454976303,2.5687203791469195,4.895260663507108,55.12322274881517,99.92890995260663,446.56919431279624,15.3,22.6,0.0,1.3,44.0,99.0,130.5,21.4,32.0,30.4,7.3,85.0,100.0,602.0,18.818478260869565,29.73586956521739,2.3586956521739126,5.116304347826087,55.28260869565217,99.95652173913044,457.8315217391304
PAR,2021/02/20,2021-11-01,253,23.615230108513604,78.71743369504534,26.27823894641884,1380,SandyLoam,14.2,22.8,0.0,2.1,33.0,98.0,142.1,20.0,33.8,70.9,7.5,79.0,100.0,640.2,17.901960784313726,30.146274509803924,6.125098039215687,4.498431372549019,50.741176470588236,99.98039215686275,426.89882352941174,14.2,25.7,0.0,2.2,33.0,98.0,236.1,19.3,33.8,55.4,7.4,68.0,100.0,637.2,17.486021505376346,30.56129032258065,5.943010752688172,4.724731182795699,48.74193548387097,99.97849462365592,444.9440860215054
VIR,2021/01/01,2021-12-16,348,31.38556320619388,104.61854402064627,36.677853715729135,615,ClayLoam,16.0,24.7,0.0,1.2,33.0,98.0,156.8,21.0,34.6,64.6,6.7,76.0,100.0,614.2,18.975142857142856,30.545428571428577,7.097142857142857,4.396,49.36,99.9,462.20142857142855,16.7,25.4,0.0,1.8,35.0,99.0,244.5,20.3,33.4,64.6,6.4,66.0,100.0,602.6,18.93586956521739,30.5695652173913,7.145652173913043,4.623913043478261,49.41304347826087,99.95652173913044,480.92282608695655
MEL,2021/01/01,2021-12-17,349,31.439694161223407,104.79898053741137,36.73198467075867,945,ClayLoam,13.4,22.7,0.0,1.4,25.0,100.0,128.4,21.0,35.3,73.8,7.0,89.0,100.0,569.0,18.72905982905983,30.774074074074075,4.82991452991453,4.346723646723647,53.49287749287749,100.0,416.70512820512823,16.7,27.6,0.0,2.5,25.0,100.0,247.1,20.1,35.3,47.5,7.0,69.0,100.0,569.0,18.70434782608696,31.017391304347836,4.989130434782608,4.578260869565217,51.91304347826087,100.0,427.05652173913046
MAR,2021/01/01,2021-10-20,291,26.853831268841578,89.51277089613859,,2250,SandyLoam,15.3,21.6,0.0,1.0,29.0,96.0,83.5,21.4,34.4,37.2,8.5,87.0,100.0,651.7,18.911945392491464,29.833904109589042,2.6556313993174063,5.08527397260274,54.20136518771331,99.9283276450512,455.896928327645,15.3,25.6,0.0,2.3,29.0,96.0,248.1,20.2,33.8,34.4,8.5,70.0,100.0,651.7,18.590322580645157,30.083695652173905,2.7419354838709675,5.521739130434782,52.18279569892473,99.93548387096774,475.81827956989247
BLG,2021/03/06,2021-11-01,239,1.3488344880370797,4.4961149601236,24.60946655063167,510,Clay,15.2,24.4,0.0,1.9,32.0,98.0,117.7,20.9,33.9,67.8,8.2,69.0,100.0,672.8,18.483402489626556,30.232780082987553,4.593360995850622,5.008298755186722,50.19917012448133,99.92946058091286,458.0161825726141,15.2,25.1,0.0,2.3,32.0,98.0,209.2,20.2,33.9,62.8,8.0,67.0,100.0,651.1,18.213978494623653,30.41505376344087,5.124731182795699,5.243010752688172,49.01075268817204,99.96774193548387,480.7924731182795
PRA,2021/01/01,2021-12-20,352,1.8383296182480067,6.127765394160022,36.87232702048436,825,Clay,15.0,21.7,0.0,1.6,28.0,86.0,121.8,21.0,33.5,51.0,8.9,86.0,100.0,691.5,18.34039548022599,29.377683615819212,4.005084745762712,4.891242937853107,49.559322033898304,96.16666666666667,408.8672316384181,16.4,24.5,0.0,2.3,28.0,86.0,205.4,20.1,33.5,39.8,8.2,69.0,100.0,605.1,18.128260869565217,29.743478260869562,4.908695652173912,5.179347826086956,48.42391304347826,96.71739130434783,426.4652173913043
VIR,2021/02/08,2021-11-01,265,24.697432347464286,82.32477449154763,27.71615113953191,555,SiltClayLoam,16.0,24.7,0.0,1.2,35.0,98.0,156.8,21.0,34.3,64.6,6.7,76.0,100.0,614.2,18.938576779026214,30.412359550561796,7.367415730337079,4.321348314606741,49.91011235955056,99.9250936329588,456.0385767790262,16.7,25.4,0.0,1.8,35.0,99.0,224.8,20.3,33.4,64.6,6.4,66.0,100.0,604.4,18.791397849462367,30.435483870967747,8.906451612903227,4.497849462365591,49.225806451612904,99.95698924731182,470.20215053763434
MAR,2021/05/30,2021-11-01,154,8.788616143733632,29.295387145778776,,555,SiltClay,15.3,24.0,0.0,1.3,29.0,80.0,130.5,21.0,33.8,38.8,8.5,75.0,100.0,651.7,18.66025641025641,29.881935483870972,3.1493589743589747,5.370322580645162,53.23076923076923,99.71794871794872,467.44487179487174,15.3,25.2,0.0,2.2,29.0,80.0,202.3,21.0,33.8,38.8,8.5,75.0,100.0,651.7,18.67096774193548,29.90869565217392,3.7311827956989245,5.427173913043479,52.54838709677419,99.56989247311827,468.14838709677423
